Station ID,Table Position,Chair Positions
Station #1,"(482, 490)","[(452, 574), (493, 341)]"
Station #2,"(408, 155)","[(535, 174), (309, 258), (497, 102), (519, 66)]"
Station #3,"(119, 498)","[(219, 440), (118, 359), (86, 573)]"
Station #4,"(583, 247)","[(535, 296), (646, 301), (493, 341), (535, 174), (640, 165)]"
Station #5,"(258, 283)","[(246, 324), (195, 186), (309, 258)]"
Station #6,"(980, 175)","[(1056, 262), (953, 264), (893, 203), (1009, 130)]"
Station #7,"(900, 442)","[(861, 303), (922, 534)]"
Station #8,"(837, 117)","[(795, 127), (893, 203)]"
Station #9,"(257, 242)","[(246, 324), (195, 186), (309, 258)]"
Station #10,"(901, 385)","[(861, 303), (953, 264)]"
Station #1,"(483, 490)","[(452, 574), (492, 341)]"
Station #2,"(406, 154)","[(308, 257), (535, 174)]"
Station #3,"(584, 247)","[(535, 296), (646, 295), (492, 341), (535, 174), (640, 165)]"
Station #4,"(120, 497)","[(219, 440), (116, 358), (86, 573)]"
Station #5,"(257, 283)","[(246, 325), (308, 257), (195, 186)]"
Station #6,"(900, 385)","[(861, 302), (953, 264)]"
Station #7,"(981, 174)","[(1057, 262), (953, 264), (895, 203)]"
Station #8,"(838, 117)","[(794, 126), (895, 203)]"
Station #9,"(900, 444)","[(922, 534), (861, 302)]"
Station #10,"(257, 242)","[(246, 325), (308, 257), (195, 186)]"
Station #1,"(483, 491)","[(452, 574)]"
Station #2,"(408, 154)","[(535, 174), (309, 257)]"
Station #3,"(583, 248)","[(535, 295), (646, 299), (492, 340), (535, 174), (641, 165)]"
Station #4,"(119, 502)","[(217, 444), (116, 359)]"
Station #5,"(257, 284)","[(246, 325), (309, 257), (196, 187)]"
Station #6,"(981, 174)","[(1057, 262), (953, 264), (893, 203)]"
Station #7,"(901, 385)","[(861, 303), (922, 533), (953, 264)]"
Station #8,"(840, 118)","[(794, 126), (893, 203)]"
Station #9,"(900, 444)","[(861, 303), (922, 533)]"
Station #10,"(257, 243)","[(246, 325), (309, 257), (196, 187)]"
Station #1,"(483, 491)","[(452, 573)]"
Station #2,"(408, 154)","[(534, 174), (308, 257), (497, 104)]"
Station #3,"(583, 247)","[(535, 296), (646, 298), (492, 341), (534, 174), (640, 165)]"
Station #4,"(119, 502)","[(220, 438), (88, 368)]"
Station #5,"(257, 283)","[(246, 325), (195, 186), (308, 257)]"
Station #6,"(901, 384)","[(860, 302), (954, 266)]"
Station #7,"(981, 174)","[(1056, 262), (954, 266), (893, 203)]"
Station #8,"(839, 118)","[(794, 127), (893, 203)]"
Station #9,"(900, 440)","[(860, 302), (923, 534)]"
