label,mid_x,mid_y,width,height,confidence,x1,y1,x2,y2
camera_7@table#001,730.5,835.0,699,452,0.7164626121520996,381,609,1080,1061
camera_7@table#002,1670.5,778.5,463,477,0.8440157175064087,1439,540,1902,1017
camera_7@table#003,1609.0,388.5,430,295,0.4474141299724579,1394,241,1824,536
camera_7@table#004,438.5,452.0,471,246,0.3052956759929657,203,329,674,575
camera_7@table#005,125.0,858.5,250,411,0.4834253191947937,0,653,250,1064
camera_7@table#006,724.0,214.5,284,251,0.09818804264068604,582,89,866,340
camera_7@table#007,1044.0,344.5,486,131,0.6928524374961853,801,279,1287,410
camera_7@table#008,1403.0,184.0,230,166,0.3544960916042328,1288,101,1518,267
camera_7@table#009,80.0,521.5,160,205,0.2533027231693268,0,419,160,624
camera_7@table#010,1304.0,90.5,224,71,0.09867831319570541,1192,55,1416,126
